Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$47,587,674,205",0.00%,0,0,0,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"$47,570,975,362",0.00%,0,0,0,Analyze
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$47,402,284,363",1.22%,0,0,0,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"$47,095,581,312",2.38%,0,0,0,Analyze
HSY,Hershey Foods,Common stocks,Large cap,Consumer Staples,"$47,044,254,840",1.54%,0,0,0,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$46,501,531,061",4.35%,0,0,0,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"$45,374,785,400",0.00%,47.3,3.27,7.56,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$45,157,203,343",1.14%,0,0,0,Analyze
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"$44,377,069,827",1.89%,0,0,0,Analyze
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$44,064,283,671",0.90%,0,0,0,Analyze
WELL,Welltower Inc,REITs,Large cap,Real Estate,"$43,835,050,140",0.00%,0,0,0,Analyze
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"$43,772,684,133",0.00%,0,0,0,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"$43,679,004,960",1.97%,28.11,1.81,2.55,Analyze
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"$43,644,133,326",1.52%,0,0,0,Analyze
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"$43,446,800,000",3.96%,0,0,0,Analyze
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$43,399,654,421",5.51%,24.52,2.61,1.42,Analyze
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"$43,355,346,928",2.20%,0,0,0,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$43,041,079,326",0.00%,0,0,0,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$42,942,877,004",0.00%,0,0,0,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$42,903,257,335",0.96%,0,0,0,Analyze
O,Realty Income Corporation,REITs,Large cap,Real Estate,"$42,785,797,993",3.95%,0,0,0,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$42,622,786,020",0.00%,0,0,0,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$42,543,628,246",0.86%,0,0,0,Analyze
KR,Kroger,Common stocks,Large cap,Consumer Staples,"$42,494,358,513",1.37%,38.75,0,4.46,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$42,491,366,930",0.00%,0,0,0,Analyze
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$42,432,760,303",3.59%,23.48,2.18,82.85,Analyze
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"$42,413,793,343",2.86%,0,0,0,Analyze
WMB,Williams Inc,Common stocks,Large cap,Energy,"$42,290,473,199",4.66%,0,0,0,Analyze
RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$42,286,922,409",1.34%,0,0,0,Analyze
NUE,Nucor Corp,Common stocks,Large cap,Materials,"$42,262,796,595",1.15%,0,0,0,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$42,169,472,179",2.12%,0,0,0,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"$41,892,015,025",0.00%,0,0,0,Analyze
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$41,430,230,026",4.83%,0,0,0,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$41,353,092,000",3.27%,0,0,0,Analyze
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$41,296,750,597",3.19%,0,0,0,Analyze
VLO,Valero Energy Corp,Common stocks,Large cap,Energy,"$41,265,111,410",3.82%,0,0,0,Analyze
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$40,692,761,351",2.46%,0,0,0,Analyze
HLT,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$40,453,679,448",0.00%,0,0,0,Analyze
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"$40,267,068,007",1.61%,0,0,0,Analyze
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"$39,912,030,162",2.32%,0,0,0,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$39,558,542,047",2.28%,0,0,0,Analyze
PSX,Phillips 66,Common stocks,Large cap,Energy,"$39,434,646,224",4.37%,0,0,0,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$39,284,589,790",1.43%,0,0,0,Analyze
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$39,215,617,369",0.00%,0,0,0,Analyze
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"$39,033,789,372",0.81%,0,0,0,Analyze
MSI,Motorola Solutions Inc,Common stocks,Large cap,Information Technology,"$38,909,934,284",1.28%,0,0,0,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$38,458,612,050",2.77%,0,0,0,Analyze
SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$38,289,948,045",0.69%,0,0,0,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$38,204,700,313",4.23%,0,0,0,Analyze
GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"$38,047,010,200",0.70%,0,0,0,Analyze
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$37,782,951,078",1.08%,0,0,0,Analyze
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$37,662,906,533",0.64%,0,0,0,Analyze
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$37,633,944,802",0.00%,0,0,0,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$37,599,916,800",1.47%,0,0,0,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"$36,400,713,028",1.06%,0,0,0,Analyze
PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$36,109,445,085",2.85%,0,0,0,Analyze
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$35,908,783,225",1.13%,0,0,0,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$35,638,615,456",1.22%,0,0,0,Analyze
TWTR,Twitter Inc,Common stocks,Large cap,Communication Services,"$35,612,519,064",0.00%,0,0,0,Analyze
HAL,Halliburton,Common stocks,Large cap,Energy,"$35,599,089,127",0.64%,0,0,0,Analyze
TDG,Transdigm Group Inc,Common stocks,Large cap,Industrials,"$35,302,169,177",0.00%,0,0,0,Analyze
HES,Hess Corp,Common stocks,Large cap,Energy,"$34,875,248,264",0.99%,0,0,0,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$34,813,879,731",1.79%,0,0,0,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$34,750,635,657",0.55%,0,0,0,Analyze
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"$34,722,365,365",1.52%,0,0,0,Analyze
RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$34,711,622,498",0.69%,0,0,0,Analyze
ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$34,640,041,366",3.14%,0,0,0,Analyze
VRSK,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$34,617,770,671",0.55%,0,0,0,Analyze
YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$34,552,298,000",1.72%,0,0,0,Analyze
AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$34,462,437,753",2.56%,0,0,0,Analyze
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"$34,309,080,949",1.65%,0,0,0,Analyze
TSN,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$34,024,867,840",1.92%,0,0,0,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$34,009,928,704",1.10%,0,0,0,Analyze
EQR,Equity Residential,REITs,Large cap,Real Estate,"$33,930,290,263",2.67%,0,0,0,Analyze
LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$33,915,036,660",4.32%,0,0,0,Analyze
FAST,Fastenal,Common stocks,Large cap,Industrials,"$33,203,483,654",1.98%,0,0,0,Analyze
WEC,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$32,934,519,382",2.61%,0,0,0,Analyze
TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"$32,775,017,363",3.04%,0,0,0,Analyze
ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$32,225,760,143",2.28%,0,0,0,Analyze
OTIS,Otis Worldwide Corporation,Common stocks,Large cap,Industrials,"$32,081,975,453",1.26%,0,0,0,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$32,013,049,395",0.00%,0,0,0,Analyze
ES,Eversource Energy,Common stocks,Large cap,Utilities,"$31,977,800,780",2.61%,0,0,0,Analyze
BF-B,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$31,950,748,207",1.06%,0,0,0,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$31,867,568,350",1.39%,0,0,0,Analyze
DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$31,860,779,317",1.72%,0,0,0,Analyze
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$31,839,598,104",1.56%,0,0,0,Analyze
IFF,International Flavors & Fragrances,Common stocks,Large cap,Materials,"$31,697,885,634",2.51%,0,0,0,Analyze
OKE,Oneok Inc,Common stocks,Large cap,Energy,"$31,623,154,453",5.16%,0,0,0,Analyze
AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$30,634,394,157",1.42%,0,0,0,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$30,577,078,712",0.00%,0,0,0,Analyze
ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$30,549,122,961",1.66%,0,0,0,Analyze
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$30,394,624,654",1.78%,0,0,0,Analyze
STT,State Street Corp,Common stocks,Large cap,Financials,"$30,222,295,156",2.69%,0,0,0,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$30,033,676,144",0.00%,0,0,0,Analyze
MTD,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$29,869,336,074",0.00%,0,0,0,Analyze
ODFL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$29,864,588,780",0.35%,0,0,0,Analyze
SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$29,807,048,541",0.00%,0,0,0,Analyze
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$29,749,380,547",0.64%,0,0,0,Analyze
NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$29,604,045,247",1.19%,0,0,0,Analyze
WY,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$29,569,234,477",1.68%,0,0,0,Analyze
HRL,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$29,064,722,541",1.88%,0,0,0,Analyze
CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$28,737,173,663",0.00%,0,0,0,Analyze
PCAR,Paccar Inc,Common stocks,Large cap,Industrials,"$28,651,871,450",1.62%,0,0,0,Analyze
EXR,Extra Space Storage Inc,REITs,Large cap,Real Estate,"$28,575,341,527",2.33%,0,0,0,Analyze
WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$28,564,985,050",0.18%,0,0,0,Analyze
CBRE,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$28,414,269,016",0.00%,0,0,0,Analyze
GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$28,371,426,018",2.92%,0,0,0,Analyze
BLL,Ball Corp,Common stocks,Large cap,Materials,"$27,723,826,363",0.87%,0,0,0,Analyze
CERN,Cerner Corp,Common stocks,Large cap,Health Care,"$27,441,928,203",1.05%,0,0,0,Analyze
EIX,Edison International,Common stocks,Large cap,Utilities,"$27,371,629,850",3.73%,0,0,0,Analyze
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$27,360,719,535",2.93%,0,0,0,Analyze
MOS,Mosaic,Common stocks,Large cap,Materials,"$27,322,959,987",0.45%,0,0,0,Analyze
MKC,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$27,217,232,056",1.38%,0,0,0,Analyze
FITB,Fifth Third Bancorp,Common stocks,Large cap,Financials,"$27,097,301,244",2.92%,0,0,0,Analyze
FE,Firstenergy Corp,Common stocks,Large cap,Utilities,"$26,912,351,204",3.26%,0,0,0,Analyze
MTCH,Match Group Inc,Common stocks,Large cap,Communication Services,"$26,841,008,349",0.00%,0,0,0,Analyze
EXPE,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$26,832,741,942",0.00%,0,0,0,Analyze
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$26,762,654,683",0.00%,0,0,0,Analyze
GWW,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$26,752,509,495",1.23%,0,0,0,Analyze
DTE,DTE Energy,Common stocks,Large cap,Utilities,"$26,707,316,780",2.52%,0,0,0,Analyze
FRC,First Republic Bank,Common stocks,Large cap,Financials,"$26,700,540,300",0.57%,0,0,0,Analyze
EFX,Equifax Inc,Common stocks,Large cap,Industrials,"$26,694,645,673",0.72%,0,0,0,Analyze
KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$26,688,462,006",0.00%,28.18,5.33,7.03,Analyze
TSCO,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$26,543,909,404",1.04%,0,0,0,Analyze
ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$26,508,539,093",0.76%,0,0,0,Analyze
WTW,Willis Towers Watson Public Limited Company,Common stocks,Large cap,Financials,"$26,323,138,341",1.34%,0,0,0,Analyze
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$25,393,306,104",1.18%,0,0,0,Analyze
LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"$25,385,614,165",0.00%,27.91,1.61,2.62,Analyze
ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$25,338,506,174",0.00%,0,0,0,Analyze
CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$25,218,492,938",0.98%,0,0,0,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$25,095,392,311",0.00%,0,0,0,Analyze
LH,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$25,032,646,428",1.04%,10.54,1.55,2.44,Analyze
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$24,934,872,755",2.30%,0,0,0,Analyze
ETR,Entergy Corp,Common stocks,Large cap,Utilities,"$24,783,003,856",3.14%,0,0,0,Analyze
DAL,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$24,714,087,331",0.00%,0,0,0,Analyze
FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"$24,692,615,385",1.39%,0,0,0,Analyze
STE,STERIS PLC,Common stocks,Large cap,Health Care,"$24,683,358,330",0.68%,0,0,0,Analyze
HIG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$24,608,040,469",1.96%,0,0,0,Analyze
VTR,"Ventas, Inc",REITs,Large cap,Real Estate,"$24,368,509,672",2.92%,0,0,0,Analyze
LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$24,335,961,447",0.00%,0,0,0,Analyze
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$24,010,383,018",0.76%,0,0,0,Analyze
MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$23,827,529,020",1.99%,0,0,0,Analyze
IT,Gartner Inc,Common stocks,Large cap,Information Technology,"$23,819,734,257",0.00%,30.63,5.03,65.5,Analyze
NTRS,Northern Trust Corporation,Common stocks,Large cap,Financials,"$23,601,637,304",2.44%,0,0,0,Analyze
VRSN,Verisign Inc,Common stocks,Large cap,Information Technology,"$23,503,121,223",0.00%,0,0,0,Analyze
PARA,Paramount Global - Class B,Common stocks,Large cap,Communication Services,"$23,498,687,706",2.65%,0,0,0,Analyze
VMC,Vulcan Materials,Common stocks,Large cap,Materials,"$23,322,933,153",0.86%,0,0,0,Analyze
CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$23,182,595,157",1.04%,0,0,0,Analyze
K,Kellogg,Common stocks,Large cap,Consumer Staples,"$23,113,629,011",3.37%,15.54,1.63,6.21,Analyze
URI,United Rentals Inc,Common stocks,Large cap,Industrials,"$23,014,827,772",0.00%,0,0,0,Analyze
CTRA,Coterra Energy Inc.,Common stocks,Large cap,Energy,"$23,007,468,386",1.74%,0,0,0,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$22,964,867,193",1.09%,0,0,0,Analyze
SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$22,923,363,957",2.17%,0,0,0,Analyze
MLM,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$22,876,977,523",0.65%,0,0,0,Analyze
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$22,571,808,912",2.42%,0,0,0,Analyze
TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$22,542,591,921",0.00%,0,0,0,Analyze
DRE,Duke Realty Corporation,REITs,Large cap,Real Estate,"$22,541,190,560",1.80%,0,0,0,Analyze
RJF,Raymond James Inc,Common stocks,Large cap,Financials,"$22,458,389,012",1.10%,0,0,0,Analyze
LEN,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$22,198,707,844",1.46%,5.13,0.79,0.98,Analyze
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$21,953,756,950",1.87%,0,0,0,Analyze
GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$21,557,451,286",1.19%,0,0,0,Analyze
VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$21,549,041,368",3.53%,0,0,0,Analyze
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$21,488,260,710",0.01%,0,0,0,Analyze
DOV,Dover Corp,Common stocks,Large cap,Industrials,"$21,301,354,737",1.34%,0,0,0,Analyze
ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$21,240,795,771",0.00%,0,0,0,Analyze
ULTA,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$21,239,636,052",0.00%,0,0,0,Analyze
PPL,PPL Corporation,Common stocks,Large cap,Utilities,"$21,212,097,483",4.92%,0,0,0,Analyze
CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$21,130,665,329",2.40%,0,0,0,Analyze
FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$21,065,016,369",1.34%,0,0,0,Analyze
FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$21,065,016,369",1.23%,0,0,0,Analyze
